date,version,bench,avg_ns,min_ns,max_ns,iterations,notes
2026-05-08,0.7.0,aegis_next_id,2000,907,33000,100000,counter→agnostik UUID v4 (0.6.0)
2026-05-08,0.7.0,security_event_new,3000,1000,124000,100000,
2026-05-08,0.7.0,aegis_report_event,224000,2000,705000,50000,vec+prune-and-rebuild (pre-0.8.1)
2026-05-08,0.8.0,aegis_next_id,2000,907,109000,100000,
2026-05-08,0.8.0,security_event_new,3000,1000,178000,100000,
2026-05-08,0.8.0,aegis_report_event,222000,2000,579000,50000,JSON serde adds no measurable overhead to report path
2026-05-08,0.8.1,aegis_next_id,2000,838,109000,100000,
2026-05-08,0.8.1,security_event_new,3000,1000,206000,100000,
2026-05-08,0.8.1,aegis_report_event,4000,2000,132000,50000,ring buffer ≈55× speedup vs 0.8.0
2026-06-15,1.0.1,aegis_next_id,2000,978,61000,100000,cyrius 6.2.11 pin (json→bayan toolchain refresh)
2026-06-15,1.0.1,security_event_new,3000,1000,119000,100000,cyrius 6.2.11 pin
2026-06-15,1.0.1,aegis_report_event,5000,3000,78000,50000,cyrius 6.2.11 pin
2026-08-24,1.1.5,aegis_next_id,839,772,2029,100000,cyrius 6.5.35 pin; harness now subtracts a measured 1.254us timer floor — not comparable to earlier rows
2026-08-24,1.1.5,security_event_new,2372,2112,5390,100000,cyrius 6.5.35 pin; timer-floor-subtracted
2026-08-24,1.1.5,aegis_report_event,3253,2981,6543,50000,cyrius 6.5.35 pin; timer-floor-subtracted
2026-08-24,1.1.6,aegis_next_id,804,741,1673,100000,P(-1) F-25: str_new replaces str_from (drops a 36-byte strlen per event id)
2026-08-24,1.1.6,security_event_new,2288,2082,5351,100000,P(-1) F-23/F-24 log gating + single map lookup; within noise of 1.1.5
2026-08-24,1.1.6,aegis_report_event,3210,3039,6824,50000,P(-1) F-23/F-24; within noise of 1.1.5
